client_time,device_time,gsr_data
1625628379695,1.6256283784810395E9,0.50773513
1625628379695,1.6256283787310395E9,0.5051722
1625628379695,1.6256283789810395E9,0.5038907
1625628379695,1.6256283792310395E9,0.5192685
1625628379695,1.6256283794810395E9,0.5282389
1625628381195,1.6256283797310395E9,0.5192685
1625628381195,1.6256283799810395E9,0.49876475
1625628381195,1.6256283802310395E9,0.47954246
1625628381195,1.6256283804810395E9,0.46800908
1625628381195,1.6256283807310395E9,0.46288314
1625628381195,1.6256283809810395E9,0.4590387
1625628382692,1.6256283812310395E9,0.45647573
1625628382692,1.6256283814810395E9,0.46160167
1625628382692,1.6256283817310395E9,0.46288314
1625628382692,1.6256283819810395E9,0.46416464
1625628382692,1.6256283822310395E9,0.4654461
1625628382692,1.6256283824810395E9,0.4654461
1625628384192,1.6256283827310395E9,0.46416464
1625628384192,1.6256283829810395E9,0.46416464
1625628384192,1.6256283832310395E9,0.46416464
1625628384192,1.6256283834810395E9,0.4577572
1625628384192,1.6256283837310395E9,0.46416464
1625628384192,1.6256283839810395E9,0.46929058
1625628385695,1.6256283842310395E9,0.46416464
1625628385695,1.6256283844810395E9,0.47954246
1625628385695,1.6256283847310395E9,0.4167497
1625628385695,1.6256283849810395E9,0.16173409
1625628385695,1.6256283852310395E9,0.23349726
1625628385695,1.6256283854810395E9,0.0
1625628387154,1.6256283857310395E9,0.0
1625628387155,1.6256283859810395E9,0.11148923
1625628387155,1.6256283862310395E9,0.1396819
1625628387155,1.6256283864810395E9,0.17684498
1625628387155,1.6256283867310395E9,0.19991171
1625628387155,1.6256283869810395E9,0.0
1625628388655,1.6256283872310395E9,0.0
1625628388655,1.6256283874810395E9,0.0
1625628388655,1.6256283877310395E9,0.035881586
1625628388655,1.6256283879810395E9,0.09867437
1625628388655,1.6256283882310395E9,0.45364583
1625628388655,1.6256283884810395E9,0.3575344
1625628390155,1.6256283887310395E9,0.24732667
1625628390155,1.6256283889810395E9,0.09867437
1625628390155,1.6256283892310395E9,0.10251883
1625628390155,1.6256283894810395E9,0.31011945
1625628390155,1.6256283897310395E9,0.2896157
1625628390155,1.6256283899810395E9,0.29474163
1625628391698,1.6256283902310395E9,0.15377824
1625628391698,1.6256283904810395E9,0.263986
1625628391698,1.6256283907310395E9,0.3575344
1625628391698,1.6256283909810395E9,0.37931967
1625628391698,1.6256283912310395E9,0.38957155
1625628391698,1.6256283914810395E9,0.4023864
1625628393157,1.6256283917310395E9,0.4126383
1625628393157,1.6256283919810395E9,0.45492733
1625628393157,1.6256283922310395E9,0.51131266
1625628393157,1.6256283924810395E9,0.53950536
1625628393157,1.6256283927310395E9,0.5600091
1625628393157,1.6256283929810395E9,0.5792314
1625628394655,1.6256283932310395E9,0.6061426
1625628394655,1.6256283934810395E9,0.6202389
1625628394655,1.6256283937310395E9,0.6112685
1625628394655,1.6256283939810395E9,0.5971722
1625628394655,1.6256283942310395E9,0.5715425
1625628394655,1.6256283944810395E9,0.54847574
1625628396156,1.6256283947310395E9,0.5305349
1625628396156,1.6256283949810395E9,0.5305349
1625628396156,1.6256283952310395E9,0.5305349
1625628396156,1.6256283954810395E9,0.5266905
1625628396156,1.6256283957310395E9,0.52284604
1625628396156,1.6256283959810395E9,0.51003116
1625628397655,1.6256283962310395E9,0.5061867
1625628397655,1.6256283964810395E9,0.5061867
1625628397655,1.6256283967310395E9,0.51003116
1625628397655,1.6256283969810395E9,0.51259416
1625628397655,1.6256283972310395E9,0.51131266
1625628397655,1.6256283974810395E9,0.51131266
1625628399155,1.6256283977310395E9,0.5177201
1625628399155,1.6256283979810395E9,0.52156454
1625628399155,1.6256283982310395E9,0.52284604
1625628399155,1.6256283984810395E9,0.52028304
1625628399155,1.6256283987310395E9,0.52156454
1625628399155,1.6256283989810395E9,0.52156454
1625628400655,1.6256283992310395E9,0.52412754
1625628400655,1.6256283994810395E9,0.52412754
1625628400655,1.6256283997310395E9,0.525409
1625628400655,1.6256283999810395E9,0.5266905
1625628400655,1.6256284002310395E9,0.52156454
1625628400655,1.6256284004810395E9,0.52284604
1625628402194,1.6256284007310395E9,0.52412754
1625628402194,1.6256284009810395E9,0.525409
1625628402194,1.6256284012310395E9,0.5292535
1625628402194,1.6256284014810395E9,0.5292535
1625628402194,1.6256284017310395E9,0.5292535
1625628402194,1.6256284019810395E9,0.5292535
1625628403655,1.6256284022310395E9,0.5330979
1625628403655,1.6256284024810395E9,0.5330979
1625628403655,1.6256284027310395E9,0.53566086
1625628403655,1.6256284029810395E9,0.53694236
1625628403655,1.6256284032310395E9,0.53822386
1625628403655,1.6256284034810395E9,0.53822386
1625628405155,1.6256284037310395E9,0.53694236
1625628405155,1.6256284039810395E9,0.53566086
1625628405155,1.6256284042310395E9,0.5330979
1625628405155,1.6256284044810395E9,0.5292535
1625628405155,1.6256284047310395E9,0.5305349
1625628405155,1.6256284049810395E9,0.5318164
1625628406654,1.6256284052310395E9,0.5343794
1625628406654,1.6256284054810395E9,0.53694236
1625628406654,1.6256284057310395E9,0.53694236
1625628406654,1.6256284059810395E9,0.53694236
1625628406654,1.6256284062310395E9,0.53694236
1625628406654,1.6256284064810395E9,0.5420683
1625628408192,1.6256284067310395E9,0.5459128
1625628408192,1.6256284069810395E9,0.5548832
1625628408192,1.6256284072310395E9,0.5689795
1625628408192,1.6256284074810395E9,0.5869203
1625628408192,1.6256284077310395E9,0.60229814
1625628408192,1.6256284079810395E9,0.6061426
1625628409657,1.6256284082310395E9,0.60229814
1625628409657,1.6256284084810395E9,0.59204626
1625628409657,1.6256284087310395E9,0.5817944
1625628409657,1.6256284089810395E9,0.56641656
1625628409657,1.6256284092310395E9,0.56641656
1625628409657,1.6256284094810395E9,0.56257206
1625628411154,1.6256284097310395E9,0.5612906
1625628411154,1.6256284099810395E9,0.56257206
1625628411154,1.6256284102310395E9,0.56641656
1625628411154,1.6256284104810395E9,0.56257206
1625628411154,1.6256284107310395E9,0.5587276
1625628411154,1.6256284109810395E9,0.5574461
1625628412655,1.6256284112310395E9,0.5561647
1625628412655,1.6256284114810395E9,0.5548832
1625628412655,1.6256284117310395E9,0.5574461
1625628412655,1.6256284119810395E9,0.5548832
1625628412655,1.6256284122310395E9,0.5536017
1625628412655,1.6256284124810395E9,0.5536017
1625628414155,1.6256284127310395E9,0.54975724
1625628414155,1.6256284129810395E9,0.54847574
1625628414155,1.6256284132310395E9,0.55103874
1625628414155,1.6256284134810395E9,0.54847574
1625628414155,1.6256284137310395E9,0.55103874
1625628414155,1.6256284139810395E9,0.5523202
1625628415692,1.6256284142310395E9,0.54847574
1625628415692,1.6256284144810395E9,0.54847574
1625628415692,1.6256284147310395E9,0.54847574
1625628415692,1.6256284149810395E9,0.5536017
1625628415692,1.6256284152310395E9,0.55103874
1625628415692,1.6256284154810395E9,0.5523202
1625628417154,1.6256284157310395E9,0.5536017
1625628417154,1.6256284159810395E9,0.5536017
1625628417154,1.6256284162310395E9,0.5536017
1625628417154,1.6256284164810395E9,0.5536017
1625628417154,1.6256284167310395E9,0.5548832
1625628417154,1.6256284169810395E9,0.55103874
1625628418657,1.6256284172310395E9,0.55103874
1625628418657,1.6256284174810395E9,0.55103874
1625628418657,1.6256284177310395E9,0.5523202
1625628418657,1.6256284179810395E9,0.5523202
1625628418657,1.6256284182310395E9,0.5561647
1625628418657,1.6256284184810395E9,0.5548832
1625628420155,1.6256284187310395E9,0.5548832
1625628420155,1.6256284189810395E9,0.5587276
1625628420155,1.6256284192310395E9,0.5600091
1625628420155,1.6256284194810395E9,0.5612906
1625628420155,1.6256284197310395E9,0.5689795
1625628420155,1.6256284199810395E9,0.57538694
1625628421654,1.6256284202310395E9,0.57538694
1625628421654,1.6256284204810395E9,0.57410544
1625628421654,1.6256284207310395E9,0.570261
1625628421654,1.6256284209810395E9,0.570261
1625628421654,1.6256284212310395E9,0.56513506
1625628421654,1.6256284214810395E9,0.56513506
1625628423154,1.6256284217310395E9,0.56257206
1625628423154,1.6256284219810395E9,0.56641656
1625628423154,1.6256284222310395E9,0.56257206
1625628423154,1.6256284224810395E9,0.56257206
1625628423154,1.6256284227310395E9,0.56385356
1625628423154,1.6256284229810395E9,0.567698
1625628424658,1.6256284232310395E9,0.5689795
1625628424658,1.6256284234810395E9,0.5689795
1625628424658,1.6256284237310395E9,0.5689795
1625628424658,1.6256284239810395E9,0.570261
1625628424658,1.6256284242310395E9,0.57666844
1625628424658,1.6256284244810395E9,0.5779499
1625628426154,1.6256284247310395E9,0.5779499
1625628426154,1.6256284249810395E9,0.5779499
1625628426154,1.6256284252310395E9,0.5715425
1625628426154,1.6256284254810395E9,0.5715425
1625628426154,1.6256284257310395E9,0.57282394
1625628426154,1.6256284259810395E9,0.57410544
1625628427654,1.6256284262310395E9,0.57410544
1625628427655,1.6256284264810395E9,0.57410544
1625628427655,1.6256284267310395E9,0.57410544
1625628427655,1.6256284269810395E9,0.5805129
1625628427655,1.6256284272310395E9,0.5805129
1625628427655,1.6256284274810395E9,0.5817944
1625628429155,1.6256284277310395E9,0.5805129
1625628429155,1.6256284279810395E9,0.5817944
1625628429155,1.6256284282310395E9,0.5856388
1625628429155,1.6256284284810395E9,0.5843573
1625628429155,1.6256284287310395E9,0.5843573
1625628429155,1.6256284289810395E9,0.5817944
1625628430654,1.6256284292310395E9,0.5843573
1625628430654,1.6256284294810395E9,0.5817944
1625628430654,1.6256284297310395E9,0.5817944
1625628430654,1.6256284299810395E9,0.5817944
1625628430654,1.6256284302310395E9,0.5817944
1625628430654,1.6256284304810395E9,0.5817944
1625628432153,1.6256284307310395E9,0.5882018
1625628432153,1.6256284309810395E9,0.5856388
1625628432153,1.6256284312310395E9,0.5830758
1625628432153,1.6256284314810395E9,0.5805129
1625628432153,1.6256284317310395E9,0.5817944
1625628432153,1.6256284319810395E9,0.5817944
1625628433657,1.6256284322310395E9,0.5817944
1625628433657,1.6256284324810395E9,0.5817944
1625628433657,1.6256284327310395E9,0.5869203
1625628433657,1.6256284329810395E9,0.58948326
1625628433657,1.6256284332310395E9,0.58948326
1625628433657,1.6256284334810395E9,0.5792314
1625628435192,1.6256284337310395E9,0.56513506
1625628435192,1.6256284339810395E9,0.54719424
1625628435192,1.6256284342310395E9,0.44467542
1625628435192,1.6256284344810395E9,0.45877177
1625628435192,1.6256284347310395E9,0.4369865
1625628435192,1.6256284349810395E9,0.41391978
1625628436654,1.6256284352310395E9,0.42545316
1625628436654,1.6256284354810395E9,0.38188264
1625628436654,1.6256284357310395E9,0.38700858
1625628436654,1.6256284359810395E9,0.39085305
1625628436654,1.6256284362310395E9,0.14608933
1625628436654,1.6256284364810395E9,0.04100753
1625628438154,1.6256284367310395E9,0.10380031
1625628438154,1.6256284369810395E9,0.19991171
1625628438154,1.6256284372310395E9,0.23066737
1625628438154,1.6256284374810395E9,0.26654896
1625628438154,1.6256284377310395E9,0.3319047
1625628438154,1.6256284379810395E9,0.0
1625628439654,1.6256284382310395E9,0.27680084
1625628439654,1.6256284384810395E9,0.30755648
1625628439654,1.6256284387310395E9,0.2985861
1625628439654,1.6256284389810395E9,0.021785248
1625628439654,1.6256284392310395E9,0.18581538
1625628439654,1.6256284394810395E9,0.21657103
1625628441155,1.6256284397310395E9,0.44595692
1625628441155,1.6256284399810395E9,0.44595692
1625628441155,1.6256284402310395E9,0.47799405
1625628441155,1.6256284404810395E9,0.49209037
1625628441155,1.6256284407310395E9,0.4997793
1625628441155,1.6256284409810395E9,0.5074682
1625628442654,1.6256284412310395E9,0.51387566
1625628442654,1.6256284414810395E9,0.52028304
1625628442654,1.6256284417310395E9,0.52028304
1625628442654,1.6256284419810395E9,0.52412754
1625628442654,1.6256284422310395E9,0.525409
1625628442654,1.6256284424810395E9,0.5266905
1625628444154,1.6256284427310395E9,0.45108286
1625628444154,1.6256284429810395E9,0.46261624
1625628444154,1.6256284432310395E9,0.46774217
1625628444154,1.6256284434810395E9,0.4715866
1625628444154,1.6256284437310395E9,0.47030514
1625628444154,1.6256284439810395E9,0.47671255
1625628445655,1.6256284442310395E9,0.48312
1625628445655,1.6256284444810395E9,0.48824593
1625628445655,1.6256284447310395E9,0.4908089
1625628445655,1.6256284449810395E9,0.49337187
1625628445655,1.6256284452310395E9,0.49465334
1625628445655,1.6256284454810395E9,0.4908089
1625628447154,1.6256284457310395E9,0.41904572
1625628447154,1.6256284459810395E9,0.48055702
1625628447154,1.6256284462310395E9,0.4984978
1625628447154,1.6256284464810395E9,0.47543108
1625628447154,1.6256284467310395E9,0.48055702
1625628447154,1.6256284469810395E9,0.48312
1625628448654,1.6256284472310395E9,0.5010608
1625628448654,1.6256284474810395E9,0.4818385
1625628448654,1.6256284477310395E9,0.4984978
1625628448654,1.6256284479810395E9,0.49337187
1625628448654,1.6256284482310395E9,0.42801613
1625628448654,1.6256284484810395E9,0.3331862
1625628450154,1.6256284487310395E9,0.36137888
1625628450154,1.6256284489810395E9,0.351127
1625628450154,1.6256284492310395E9,0.37163076
1625628450154,1.6256284494810395E9,0.3703493
1625628450154,1.6256284497310395E9,0.3703493
1625628450154,1.6256284499810395E9,0.3690678
1625628451659,1.6256284502310395E9,0.3703493
1625628451659,1.6256284504810395E9,0.3690678
1625628451659,1.6256284507310395E9,0.3703493
1625628451659,1.6256284509810395E9,0.3575344
1625628451660,1.6256284512310395E9,0.36394185
1625628451660,1.6256284514810395E9,0.36650482
1625628453155,1.6256284517310395E9,0.37291226
1625628453155,1.6256284519810395E9,0.38060117
1625628453155,1.6256284522310395E9,0.38060117
